,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
51359,379694,17/05/2008,Sábado,19:30:00,CE,116,11.7,FORTALEZA,Outras,Colisão com bicicleta,Com Vítimas Feridas,Plena noite,Decrescente,Ceu Claro,Múltipla,Curva,Urbano,2008,2,0,0,1,0,1,1,2
51407,379743,08/05/2008,Quinta,18:00:00,CE,20,17,MARACANAU,Falta de atenção,Colisão com bicicleta,Com Vítimas Feridas,Anoitecer,Crescente,Ceu Claro,Dupla,Reta,Rural,2008,2,0,0,1,1,0,1,2
51416,379752,19/05/2008,Segunda,13:40:00,CE,20,257.7,MADALENA,Dormindo,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,1,0,0,0,1,1
51488,379831,16/05/2008,Sexta,08:50:00,CE,222,109.7,ITAPAGE,Falta de atenção,Colisão lateral,Com Vítimas Fatais,Pleno dia,Crescente,Sol,Simples,Curva,Rural,2008,10,2,6,1,1,0,7,2
51490,379833,18/05/2008,Domingo,23:20:00,CE,20,405,CAUCAIA,Animais na Pista,Atropelamento de animal,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2008,4,0,3,1,0,0,4,2
51539,379884,16/05/2008,Sexta,18:00:00,CE,116,60,CHOROZINHO,Falta de atenção,Colisão lateral,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Simples,Reta,Rural,2008,2,0,0,2,0,0,2,2
51588,379941,20/05/2008,Terça,07:40:00,CE,116,3.5,FORTALEZA,Falta de atenção,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Reta,Urbano,2008,2,0,0,0,1,1,0,2
51620,379974,17/05/2008,Sábado,22:18:00,CE,116,171,RUSSAS,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2008,3,0,1,1,0,1,2,1
51630,379985,01/02/2008,Sexta,00:40:00,CE,116,2.8,FORTALEZA,Falta de atenção,Colisão Transversal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Múltipla,Reta,Urbano,2008,2,0,0,0,2,0,0,2
140822,571035,26/12/2008,Sexta,10:00:00,GO,153,156.2,MARA ROSA,Outras,Saída de Pista,Com Vítimas Fatais,Pleno dia,Decrescente,Nublado,Simples,Reta,Rural,2008,3,2,0,1,0,0,1,1
140830,574025,23/10/2008,Quinta,10:30:00,GO,60,83.1,ANAPOLIS,Falta de atenção,Saída de Pista,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Dupla,Reta,Rural,2008,1,0,0,1,0,0,1,1
140834,579172,22/03/2008,Sábado,06:30:00,GO,153,509.5,APARECIDA DE GOIANIA,Outras,Colisão lateral,Com Vítimas Feridas,Amanhecer,Decrescente,Nublado,Dupla,Reta,Urbano,2008,3,0,0,3,0,0,3,2
